Material,Laminate,Code,Meters_per_Roll,Rolls_on_Pallet,m_Square_per_pallet,CliffordRd_Rolls Jan,CliffordRd_SlitRolls Jan,CliffordRd_Pallets Jan,SquareM Jan,CliffordRd_Rolls Feb,CliffordRd_SlitRolls Feb,CliffordRd_Pallets Feb,SquareM Feb,CliffordRd_Rolls March,CliffordRd_SlitRolls March,CliffordRd_Pallets March,SquareM March,CliffordRd_Rolls April,CliffordRd_SlitRolls April,CliffordRd_Pallets April,SquareM April,CliffordRd_Rolls May,CliffordRd_SlitRolls May,CliffordRd_Pallets May,SquareM May,CliffordRd_Rolls June,CliffordRd_SlitRolls June,CliffordRd_Pallets June,SquareM June,CliffordRd_Rolls July,CliffordRd_SlitRolls July,CliffordRd_Pallets July,SquareM July,CliffordRd_Rolls Aug,CliffordRd_SlitRolls Aug,CliffordRd_Pallets Aug,SquareM Aug,CliffordRd_Rolls Sep,CliffordRd_SlitRolls Sep,CliffordRd_Pallets Sep,SquareM Sep,CliffordRd_Rolls Oct,CliffordRd_SlitRolls Oct,CliffordRd_Pallets Oct,SquareM Oct,CliffordRd_Rolls Nov,CliffordRd_SlitRolls Nov,CliffordRd_Pallets Nov,SquareM Nov,CliffordRd_Rolls Dec,CliffordRd_SlitRolls Dec,CliffordRd_Pallets Dec,SquareM Dec
082 PBL,PBL,LAM082HUH30017S,700,36,2066.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
082 ABL White,ABL White,LAM082HUH1337FC,880,36,2597.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
082 ABL Silver,Silver,LAM082HUH1337FCSIL,880,36,2597.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113 PBL,PBL,LAM113HUH30017S,700,32,2066.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113 ABL White,ABL White,LAM113HUH1337FC,880,32,2597.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113 ABL Silver,Silver,LAM113HUH1337FCSIL,880,32,2597.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129 PBL,PBL,LAM129HUH30017S,700,28,2066.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129 ABL White,ABL White,LAM129HUH1337FC,880,28,2597.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129 ABL Silver,Silver,LAM129HUH1337FCSIL,880,28,2597.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUMBO ROLLS PBL,PBL,LAM375HUH1337S,700,12,2066.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUMBO ROLLS ABL White,ABL White,LAM375HUH1337FC,880,12,2597.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUMBO ROLLS Silver,Silver,LAM350HUH1337FCSIL,880,12,2597.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
