Material;Laminate;Code;Meters_per_Roll;Rolls_on_Pallet;m_Square_per_pallet;Pallets_in_stock;Pallets_to_order
082 PBL;PBL;LAM082HUH30017S ;700;36;2066.40;;
082 ABL White;ABL White;LAM082HUH1337FC ;880;36;2597.76;;
082 ABL Silver;Silver;LAM082HUH1337FCSIL;880;36;2597.76;;
113 PBL;PBL;LAM113HUH30017S  ;700;32;2531.20;;
113 ABL White;ABL White;LAM113HUH1337FC ;880;32;3182.08;;
113 ABL Silver;Silver;LAM113HUH1337FCSIL;880;32;3182.08;;
129 PBL;PBL;LAM129HUH30017S ;700;28;2528.40;;
129 ABL White;ABL White;LAM129HUH1337FC;880;28;3178.56;;
129 ABL Silver;Silver;LAM129HUH1337FCSIL;880;28;3178.56;;
JUMBO ROLLS PBL;PBL;LAM375HUH1337S ;700;12;3675.00;;
JUMBO ROLLS ABL White;ABL White;LAM375HUH1337FC ;880;12;3960.00;;
JUMBO ROLLS Silver;Silver;LAM350HUH1337FCSIL;880;12;3960.00;;
